lam	POLY1	POLY2	POLY3	POLY4	POLY5	POLY6	POLY7	POLY8	POLY9	POLY11
1700	72.18154144	89.90138245	89.69361115	90.32428741	75.56874084	86.69337463	90.03068542	87.66843414	89.34990692	88.31010437
1696	72.00750732	89.92471313	89.67547607	90.37792969	75.54660797	86.73845673	90.11065674	87.63344574	89.30551147	88.3532486
1692	71.83634949	89.93906403	89.66327667	90.42528534	75.52779388	86.79260254	90.17325592	87.59120178	89.27355957	88.36743927
1688	71.66365051	89.94773102	89.65346527	90.480896	75.51216888	86.83222198	90.22874451	87.55339813	89.23751068	88.36188507
1684	71.48933411	89.95402527	89.62850952	90.53128815	75.50069427	86.87072754	90.28646088	87.51636505	89.20885468	88.35914612
1680	71.31491089	89.96616364	89.61480713	90.58539581	75.47570801	86.9043808	90.33550262	87.46876526	89.15533447	88.36509705
1676	71.18202972	89.97374725	89.59508514	90.66817474	75.4560318	86.93991089	90.42558289	87.4352417	89.12486267	88.39241028
1672	71.09963989	89.99169922	89.64469147	90.72983551	75.50538635	87.02236176	90.55835724	87.43126678	89.10122681	88.42815399
1668	70.86379242	90.00718689	89.71730804	90.68896484	75.57151794	87.12230682	90.49423981	87.40932465	89.06367493	88.43434906
1664	70.47264862	89.97116852	89.70102692	90.77618408	75.64827728	87.23646545	90.45556641	87.38483429	88.99484253	88.46589661
1660	70.54030609	89.95979309	89.51119232	91.01616669	75.50764465	87.1332016	90.87359619	87.2141037	88.93330383	88.45996857
1656	70.811203	90.08576965	89.47554016	91.00222015	75.30851746	87.03403473	90.8249054	87.12414551	89.04351807	88.50841522
1652	69.98913574	90.01490784	89.78285217	90.8134079	75.35540771	87.19931793	90.44524384	87.24604034	88.82109833	88.55718231
1648	69.73088074	89.95641327	89.9323349	91.26078796	75.79747772	87.59680939	91.28559875	87.46363831	88.89609528	88.70088196
1644	70.57199097	90.13951111	89.39424896	91.15982056	75.77189636	87.40083313	90.70034027	87.1349411	88.86135101	88.83857727
1640	69.31812286	90.00115967	89.58670807	91.03475189	75.20787811	87.15142059	91.0402832	86.93744659	88.74169922	88.84809875
1636	69.80764008	90.0627594	90.01918793	91.55717468	75.52307129	87.67805481	91.27838898	87.34735107	88.87041473	88.62496185
1632	69.78839111	90.12471771	89.38344574	91.06329346	75.93597412	87.62944031	90.80781555	87.14527893	88.57915497	88.40481567
